MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,WIN,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,H_BET,X_BET,A_BET,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2022-2023_Crystal Palace_Bournemouth,2022-2023,36,5/13/2023,15:00,Crystal Palace,Bournemouth,2,0,H,1,0,H,M Salisbury,17,5,5,0,11,2,5,12,0,2,0,0,1.83,3.6,4.2,1.94,1.96,1.91,3.88,4.4,1.88,3.7,4.18,1.97,1.99,1.9,1.92,3,0
2022-2023_Man United_Wolves,2022-2023,36,5/13/2023,15:00,Man United,Wolves,2,0,H,1,0,H,J Brooks,27,5,9,0,11,7,9,9,3,2,0,0,1.36,5.0,7.5,1.67,2.2,1.41,5.4,9.0,1.38,5.1,8.37,1.7,2.33,1.65,2.25,3,0
2022-2023_Southampton_Fulham,2022-2023,36,5/13/2023,15:00,Southampton,Fulham,0,2,A,0,0,D,T Bramall,5,9,1,4,1,8,17,12,2,0,0,0,2.75,3.3,2.5,1.91,1.99,2.9,3.64,2.57,2.82,3.44,2.51,1.93,02.03,1.88,1.94,0,3
2022-2023_Brentford_West Ham,2022-2023,36,5/14/2023,14:00,Brentford,West Ham,2,0,H,2,0,H,M Oliver,24,4,10,4,7,5,5,5,1,0,0,0,2.0,3.5,3.6,2.0,1.9,2.1,3.71,3.81,02.05,3.56,3.66,02.04,1.94,1.95,1.87,3,0
2022-2023_Everton_Man City,2022-2023,36,5/14/2023,14:00,Everton,Man City,0,3,A,0,2,A,A Taylor,7,9,3,4,8,6,12,4,1,0,0,0,9.0,4.75,1.36,1.67,2.2,10.0,5.7,1.39,8.86,5.21,1.36,1.69,2.35,1.64,2.27,0,3
2022-2023_Arsenal_Brighton,2022-2023,36,5/14/2023,16:30,Arsenal,Brighton,0,3,A,0,0,D,A Madley,14,12,2,6,5,2,13,17,1,2,0,0,1.73,4.2,4.2,1.53,2.5,1.81,4.5,4.35,1.77,4.19,4.21,1.56,2.63,1.53,2.51,0,3
2022-2023_Leicester_Liverpool,2022-2023,36,5/15/2023,20:00,Leicester,Liverpool,0,3,A,0,2,A,C Pawson,4,16,4,5,4,4,11,17,2,1,0,0,5.25,4.33,1.57,1.5,2.63,5.5,4.9,1.64,5.11,4.59,1.59,1.52,2.75,1.49,2.63,0,3
2022-2023_Newcastle_Brighton,2022-2023,36,5/18/2023,19:30,Newcastle,Brighton,4,1,H,2,0,H,R Jones,22,8,9,2,6,1,17,16,2,4,0,0,2.0,3.8,3.5,1.62,2.3,02.07,4.0,3.65,02.02,3.86,3.49,1.66,2.45,1.6,2.36,3,0
2022-2023_Tottenham_Brentford,2022-2023,37,5/20/2023,12:30,Tottenham,Brentford,1,3,A,1,0,H,J Gillett,22,11,8,4,8,2,11,9,1,1,0,0,1.83,3.9,4.0,1.73,2.1,1.9,4.1,4.3,1.85,3.88,4.13,1.82,2.18,1.75,2.1,0,3
2022-2023_Bournemouth_Man United,2022-2023,37,5/20/2023,15:00,Bournemouth,Man United,0,1,A,0,1,A,C Kavanagh,10,20,4,5,3,6,6,7,1,0,0,0,6.0,4.75,1.5,1.57,2.38,6.5,5.1,1.55,06.06,4.77,1.51,1.6,2.55,1.55,2.46,0,3
2022-2023_Fulham_Crystal Palace,2022-2023,37,5/20/2023,15:00,Fulham,Crystal Palace,2,2,D,1,1,D,J Smith,11,11,4,5,7,4,13,12,3,0,0,0,2.45,3.4,2.9,02.05,1.85,2.51,3.52,3.11,2.45,3.4,2.97,2.1,1.87,02.02,1.82,1,1
2022-2023_Liverpool_Aston Villa,2022-2023,37,5/20/2023,15:00,Liverpool,Aston Villa,1,1,D,0,1,A,J Brooks,10,6,5,3,9,4,16,13,3,5,0,0,1.45,5.0,6.25,1.53,2.5,1.53,5.2,6.5,1.49,4.86,6.16,1.58,2.55,1.54,2.47,1,1
2022-2023_Wolves_Everton,2022-2023,37,5/20/2023,15:00,Wolves,Everton,1,1,D,1,0,H,D Coote,13,19,5,4,1,7,18,10,5,1,0,0,2.75,3.3,2.6,2.1,1.73,2.88,3.48,2.75,2.77,3.35,2.63,2.13,1.86,02.07,1.78,1,1
2022-2023_Nott'm Forest_Arsenal,2022-2023,37,5/20/2023,17:30,Nott'm Forest,Arsenal,1,0,H,1,0,H,A Taylor,6,11,2,3,3,6,11,12,3,2,0,0,5.25,4.33,1.57,1.57,2.38,5.6,4.6,1.7,5.37,4.45,1.59,1.64,2.51,1.57,2.41,3,0
2022-2023_West Ham_Leeds,2022-2023,37,5/21/2023,13:30,West Ham,Leeds,3,1,H,1,1,D,P Bankes,19,12,9,3,9,5,6,11,1,3,0,0,2.4,3.5,2.88,1.8,2.0,2.55,3.72,2.93,2.45,3.56,2.84,1.87,2.1,1.8,02.03,3,0
2022-2023_Brighton_Southampton,2022-2023,37,5/21/2023,14:00,Brighton,Southampton,3,1,H,2,0,H,P Tierney,26,5,8,1,4,3,8,9,2,5,0,0,1.22,7.0,11.0,1.4,3.0,1.25,7.6,13.5,1.23,6.91,12.43,1.44,03.05,1.41,2.91,3,0
2022-2023_Man City_Chelsea,2022-2023,37,5/21/2023,16:00,Man City,Chelsea,1,0,H,1,0,H,M Oliver,15,13,2,6,5,2,12,9,0,2,0,0,1.25,6.0,11.0,1.5,2.63,1.28,6.85,13.25,1.26,6.41,11.48,1.57,2.63,1.52,2.54,3,0
2022-2023_Newcastle_Leicester,2022-2023,37,5/22/2023,20:00,Newcastle,Leicester,0,0,D,0,0,D,A Marriner,23,1,4,1,12,1,9,5,2,0,0,0,1.36,5.5,7.0,1.5,2.63,1.42,5.9,8.5,1.38,5.39,7.66,1.54,2.69,1.51,2.57,1,1
2022-2023_Brighton_Man City,2022-2023,37,5/24/2023,20:00,Brighton,Man City,1,1,D,1,1,D,S Hooper,20,13,7,4,5,1,16,11,2,1,0,0,4.0,4.33,1.75,1.53,2.5,4.22,4.5,1.85,3.97,4.22,1.81,1.55,2.64,1.52,2.55,1,1
2022-2023_Man United_Chelsea,2022-2023,37,5/25/2023,20:00,Man United,Chelsea,4,1,H,2,0,H,S Attwell,18,14,9,5,3,4,12,6,1,1,0,0,1.6,4.33,5.0,1.57,2.38,1.7,4.65,5.4,1.63,4.35,5.12,1.66,2.5,1.6,2.38,3,0
2022-2023_Arsenal_Wolves,2022-2023,38,5/28/2023,16:30,Arsenal,Wolves,5,0,H,3,0,H,A Marriner,14,6,8,0,8,4,8,11,0,0,0,0,1.36,5.25,8.0,1.44,2.75,1.43,5.7,8.5,1.37,5.33,7.87,1.5,2.8,1.46,2.71,3,0
2022-2023_Aston Villa_Brighton,2022-2023,38,5/28/2023,16:30,Aston Villa,Brighton,2,1,H,2,1,H,D Coote,12,8,5,4,4,3,15,16,4,4,0,0,2.0,3.6,3.5,1.53,2.5,2.1,04.08,3.55,02.04,3.88,3.37,1.56,2.63,1.53,2.52,3,0
2022-2023_Brentford_Man City,2022-2023,38,5/28/2023,16:30,Brentford,Man City,1,0,H,0,0,D,J Brooks,11,17,4,3,3,4,12,8,4,0,0,0,3.8,4.0,1.83,1.62,2.3,04.05,4.3,1.92,3.88,04.01,1.87,1.67,2.44,1.61,2.33,3,0
2022-2023_Chelsea_Newcastle,2022-2023,38,5/28/2023,16:30,Chelsea,Newcastle,1,1,D,1,1,D,J Gillett,22,13,5,4,10,3,9,11,0,0,0,0,2.9,3.5,2.38,1.73,2.1,3.0,3.86,2.48,2.87,3.64,2.38,1.76,2.3,1.7,2.19,1,1
2022-2023_Crystal Palace_Nott'm Forest,2022-2023,38,5/28/2023,16:30,Crystal Palace,Nott'm Forest,1,1,D,0,1,A,T Bramall,16,7,4,4,5,4,9,13,0,2,0,0,1.67,4.0,5.0,1.67,2.2,1.74,4.4,5.0,1.69,4.15,4.77,1.71,2.34,1.65,2.27,1,1
2022-2023_Everton_Bournemouth,2022-2023,38,5/28/2023,16:30,Everton,Bournemouth,1,0,H,0,0,D,S Attwell,13,7,6,2,9,3,11,12,1,3,0,0,1.5,4.5,6.5,1.67,2.2,1.53,5.0,7.25,1.49,4.61,6.58,1.74,2.29,1.68,2.22,3,0
2022-2023_Leeds_Tottenham,2022-2023,38,5/28/2023,16:30,Leeds,Tottenham,1,4,A,0,1,A,A Taylor,19,11,2,7,12,3,7,5,3,0,0,0,2.75,3.8,2.3,1.5,2.63,2.88,4.1,2.45,2.77,3.84,2.37,1.52,2.72,1.5,2.6,0,3
2022-2023_Leicester_West Ham,2022-2023,38,5/28/2023,16:30,Leicester,West Ham,2,1,H,1,0,H,S Hooper,13,16,4,3,3,5,8,10,1,1,0,0,1.91,3.8,3.6,1.67,2.2,2.0,4.2,3.82,1.94,3.92,3.65,1.74,2.28,1.68,2.21,3,0
2022-2023_Man United_Fulham,2022-2023,38,5/28/2023,16:30,Man United,Fulham,2,1,H,1,1,D,R Jones,21,10,8,3,5,4,14,10,1,2,0,0,1.5,4.33,6.0,1.5,2.63,1.56,4.9,6.0,1.53,4.59,5.76,1.53,2.8,1.49,2.63,3,0
2022-2023_Southampton_Liverpool,2022-2023,38,5/28/2023,16:30,Southampton,Liverpool,4,4,D,2,2,D,D England,15,30,10,8,2,9,4,10,0,2,0,0,6.5,4.75,1.44,1.4,3.0,7.1,5.6,1.46,6.74,5.2,1.42,1.42,3.12,1.39,03.01,1,1
2023-2024_Burnley_Man City,2023-2024,1,8/11/2023,20:00,Burnley,Man City,0,3,A,0,2,A,C Pawson,6,17,1,8,6,5,11,8,0,0,1,0,8.0,5.5,1.33,1.67,2.2,9.5,5.68,1.39,09.02,5.35,1.35,1.71,2.4,1.65,2.27,0,3
2023-2024_Arsenal_Nott'm Forest,2023-2024,1,8/12/2023,12:30,Arsenal,Nott'm Forest,2,1,H,2,0,H,M Oliver,15,6,7,2,8,3,12,12,2,2,0,0,1.18,7.0,15.0,1.44,2.75,1.21,8.5,17.5,1.18,7.64,15.67,1.45,2.98,1.42,2.85,3,0
2023-2024_Bournemouth_West Ham,2023-2024,1,8/12/2023,15:00,Bournemouth,West Ham,1,1,D,0,0,D,P Bankes,14,16,5,3,10,4,9,14,1,4,0,0,2.7,3.4,2.55,1.9,2.0,2.8,3.62,2.75,2.69,3.44,2.64,1.95,02.03,1.88,1.94,1,1
2023-2024_Brighton_Luton,2023-2024,1,8/12/2023,15:00,Brighton,Luton,4,1,H,1,0,H,D Coote,27,9,12,3,6,7,11,12,2,2,0,0,1.33,5.5,9.0,1.62,2.3,1.36,6.0,10.5,1.33,5.52,9.61,1.65,2.45,1.61,2.34,3,0
2023-2024_Everton_Fulham,2023-2024,1,8/12/2023,15:00,Everton,Fulham,0,1,A,0,0,D,S Attwell,19,9,9,2,10,4,12,6,0,2,0,0,2.2,3.4,3.3,02.01,1.89,2.3,3.57,3.45,2.24,3.43,3.3,02.04,1.92,1.97,1.86,0,3
2023-2024_Sheffield United_Crystal Palace,2023-2024,1,8/12/2023,15:00,Sheffield United,Crystal Palace,0,1,A,0,0,D,J Brooks,8,24,1,8,5,5,18,11,3,0,0,0,3.0,3.3,2.38,2.2,1.67,3.31,3.42,2.48,3.12,3.24,2.41,2.28,1.74,2.21,1.68,0,3
2023-2024_Newcastle_Aston Villa,2023-2024,1,8/12/2023,17:30,Newcastle,Aston Villa,5,1,H,2,1,H,A Madley,17,16,13,6,6,5,12,17,4,4,0,0,1.75,3.75,4.6,1.73,2.1,1.8,4.1,4.9,1.76,3.88,4.61,1.82,2.15,1.76,02.09,3,0
2023-2024_Brentford_Tottenham,2023-2024,1,8/13/2023,14:00,Brentford,Tottenham,2,2,D,2,2,D,R Jones,11,18,6,6,3,6,12,13,1,4,0,0,2.75,3.4,2.45,1.73,2.1,2.85,3.83,2.6,2.73,3.63,2.5,1.76,2.25,1.7,2.18,1,1
2023-2024_Chelsea_Liverpool,2023-2024,1,8/13/2023,16:30,Chelsea,Liverpool,1,1,D,1,1,D,A Taylor,10,13,4,1,4,4,5,12,3,3,0,0,2.9,3.4,2.38,1.67,2.2,03.05,3.82,2.48,2.87,3.64,2.39,1.73,2.36,1.67,2.24,1,1
